DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,SeaLevelPressure,Precip,VISIBILITY
-1.40020814,1.215545149,-1.84448892,-1.825117859,0.401386412,-0.151494642,9.0
-1.342717774,1.165290936,-1.84448892,-1.825117859,0.401386412,-0.151494642,9.0
-1.285227408,1.215545149,-1.84448892,-1.825117859,0.444109201,-0.151494642,9.0
-1.285227408,1.014528298,-0.861044706,-1.175116524,0.358663624,-0.151494642,9.0
-1.227737042,0.863765659,-0.533229968,-1.175116524,0.358663624,-0.151494642,9.0
-1.170246675,0.361223531,-0.697137337,-1.267973858,0.358663624,-0.151494642,10.0
-1.112756309,0.260715105,-0.369322599,-1.267973858,0.401386412,-0.151494642,10.0
-0.997775577,0.16020668,-0.369322599,-1.175116524,0.401386412,-0.151494642,9.0
-0.882794844,0.009444041,-0.369322599,-1.082259191,0.358663624,-0.151494642,9.0
-0.825304478,0.009444041,-0.041507861,-1.175116524,0.230495258,-0.151494642,9.0
-0.825304478,0.260715105,0.614121615,-0.896544524,0.059604103,-0.151494642,8.0
-0.882794844,0.612494595,-0.20541523,-1.082259191,-0.111287052,0.401586764,6.0
-0.940285211,1.06478251,0.286306877,-1.175116524,-0.324900996,2.613912386,5.0
-0.940285211,1.215545149,-0.861044706,-1.175116524,-0.324900996,1.784290278,6.0
-0.940285211,1.215545149,1.43365846,-1.175116524,-0.709406094,1.784290278,5.0
-0.940285211,1.215545149,1.105843722,-1.175116524,-0.837574461,0.678127467,4.0
-0.940285211,1.416562,0.614121615,-1.267973858,-0.923020038,1.231208872,2.0
-0.940285211,1.567324639,-0.041507861,-1.360831191,-1.051188404,3.996615899,2.5
-0.882794844,1.416562,0.286306877,-1.360831191,-1.264802348,1.507749575,3.0
-0.882794844,1.416562,1.43365846,-1.360831191,-1.563861869,1.231208872,5.0
-0.940285211,1.416562,1.925380567,-1.453688525,-1.820198601,0.401586764,3.0
-0.882794844,1.416562,1.925380567,-1.360831191,-2.076535334,0.401586764,4.0
-0.882794844,1.215545149,2.744917412,-1.453688525,-2.161980911,0.401586764,5.0
-0.940285211,1.215545149,2.253195305,-1.546545858,-2.375594855,0.125046061,4.0
-0.940285211,1.215545149,2.417102674,-1.546545858,-2.503763221,0.125046061,8.0
-0.940285211,1.215545149,2.253195305,-1.639403192,-2.375594855,0.125046061,10.0
-0.997775577,1.215545149,1.43365846,-1.732260525,-2.247426489,-0.151494642,10.0
-0.365381549,-0.493098087,-0.041507861,-1.732260525,-0.880297249,-0.151494642,10.0
-0.537852647,-0.19157281,-0.533229968,-1.639403192,-0.837574461,-0.151494642,10.0
-0.65283338,-0.091064384,-1.024952075,-1.732260525,-0.666683306,-0.151494642,10.0
-0.595343014,-0.19157281,-0.861044706,-1.732260525,-0.581237728,-0.151494642,10.0
-0.767814112,0.16020668,-1.84448892,-1.825117859,-0.495792151,-0.151494642,10.0
-0.595343014,-0.091064384,-1.84448892,-1.825117859,-0.410346573,-0.151494642,10.0
-0.710323746,0.16020668,-0.533229968,0.403458145,-0.324900996,-0.151494642,10.0
-0.595343014,-0.091064384,-1.352766813,0.682030146,-0.324900996,-0.151494642,10.0
-0.882794844,0.713003021,-1.024952075,0.032028811,-0.367623785,-0.151494642,10.0
-0.767814112,0.411477744,-1.024952075,-0.432257856,-0.367623785,-0.151494642,10.0
-0.767814112,0.411477744,-0.861044706,-0.617972523,-0.282178207,-0.151494642,10.0
-0.882794844,0.914019872,-0.861044706,-0.617972523,-0.324900996,-0.151494642,10.0
-0.997775577,1.215545149,-0.861044706,-0.617972523,-0.410346573,-0.151494642,10.0
-1.055265943,1.215545149,-1.84448892,-1.825117859,-0.367623785,-0.151494642,10.0
-1.112756309,1.416562,-1.84448892,-1.825117859,-0.367623785,-0.151494642,10.0
-1.170246675,1.416562,-1.352766813,0.310600812,-0.367623785,-0.151494642,7.0
-1.170246675,1.567324639,-1.352766813,-0.153685856,-0.367623785,-0.151494642,7.0
-0.940285211,1.416562,-0.697137337,-0.246543189,-0.324900996,-0.151494642,6.0
-0.882794844,1.215545149,-0.533229968,0.124886145,-0.324900996,-0.151494642,6.0
-0.825304478,0.863765659,-0.861044706,0.217743478,-0.367623785,-0.151494642,7.0
-0.767814112,0.713003021,-1.84448892,-1.825117859,-0.538514939,-0.151494642,7.0
-0.825304478,0.863765659,-0.861044706,-0.339400523,-0.666683306,-0.151494642,6.0
-0.767814112,0.713003021,-1.84448892,-1.825117859,-0.709406094,-0.151494642,6.0
-0.767814112,0.713003021,-1.352766813,-0.339400523,-0.752128883,-0.151494642,6.0
-0.710323746,0.562240382,-1.84448892,-1.825117859,-0.794851672,-0.151494642,7.0
-0.767814112,0.713003021,-0.861044706,0.403458145,-0.709406094,-0.151494642,7.0
-0.767814112,0.713003021,-0.861044706,0.403458145,-0.709406094,-0.151494642,7.0
-0.940285211,0.411477744,-0.533229968,0.589172812,-0.623960517,-0.151494642,8.0
-1.055265943,0.562240382,-1.024952075,1.146316813,-0.581237728,-0.151494642,10.0
-1.227737042,0.713003021,-0.861044706,1.053459479,-0.538514939,-0.151494642,10.0
-1.457698506,0.361223531,-0.861044706,-1.732260525,0.615000356,-0.151494642,10.0
-1.457698506,0.361223531,-1.024952075,-1.732260525,0.785891511,-0.151494642,10.0
-1.40020814,0.361223531,-1.352766813,-1.732260525,0.8286143,-0.151494642,10.0
-1.112756309,-0.493098087,-0.861044706,-1.639403192,0.999505455,-0.151494642,10.0
-1.055265943,-0.744369151,-1.352766813,-1.267973858,0.999505455,-0.151494642,10.0
-1.170246675,-0.19157281,-0.697137337,-0.060828522,0.657723145,-0.151494642,10.0
-1.285227408,0.260715105,-1.024952075,-0.060828522,0.657723145,-0.151494642,10.0
-1.227737042,0.260715105,-1.84448892,-1.825117859,0.657723145,-0.151494642,10.0
-1.285227408,0.361223531,-1.352766813,-0.617972523,0.615000356,-0.151494642,10.0
