DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,SeaLevelPressure,Precip,VISIBILITY
-1.975111802,-0.643860726,2.253195305,1.146316813,-1.820198601,-0.151494642,10.0
-1.917621436,-0.844877577,2.908824781,1.053459479,-1.734753024,-0.151494642,10.0
-1.917621436,-0.744369151,1.761473198,1.146316813,-1.777475813,-0.151494642,10.0
-1.975111802,-0.643860726,2.253195305,1.146316813,-1.692030235,-0.151494642,10.0
-1.917621436,-0.744369151,1.597565829,1.053459479,-1.692030235,-0.151494642,10.0
-1.917621436,-0.744369151,0.778028984,1.146316813,-1.649307446,-0.151494642,10.0
-1.975111802,-0.5433523,1.597565829,1.053459479,-1.563861869,-0.151494642,10.0
-1.975111802,-0.5433523,1.105843722,1.053459479,-1.563861869,-0.151494642,10.0
-1.975111802,-0.5433523,1.43365846,1.053459479,-1.52113908,-0.151494642,10.0
-1.975111802,-0.392589661,1.43365846,1.053459479,-1.478416291,-0.151494642,10.0
-1.975111802,-0.392589661,1.43365846,1.053459479,-1.435693503,-0.151494642,10.0
-2.032602168,-0.241827023,1.105843722,1.053459479,-1.392970714,-0.151494642,10.0
-2.032602168,-0.241827023,0.286306877,1.146316813,-1.350247925,-0.151494642,10.0
-1.917621436,-0.392589661,0.614121615,0.960602146,-1.307525137,-0.151494642,10.0
-1.86013107,-0.493098087,1.761473198,1.146316813,-1.264802348,-0.151494642,10.0
-1.687659971,-0.844877577,1.597565829,1.053459479,-1.264802348,-0.151494642,10.0
-1.630169605,-0.945386002,0.778028984,0.960602146,-1.307525137,-0.151494642,10.0
-1.572679239,-0.89513179,0.778028984,0.960602146,-1.435693503,-0.151494642,10.0
-1.457698506,-0.995640215,0.450214246,0.960602146,-1.478416291,-0.151494642,10.0
-1.40020814,-1.096148641,1.105843722,0.774887479,-1.52113908,-0.151494642,10.0
-1.40020814,-1.096148641,1.105843722,0.867744813,-1.478416291,-0.151494642,10.0
-1.457698506,-0.995640215,0.614121615,0.867744813,-1.392970714,-0.151494642,10.0
-1.572679239,-0.794623364,0.941936353,1.053459479,-1.350247925,-0.151494642,10.0
-1.630169605,-0.694114938,0.941936353,0.960602146,-1.307525137,-0.151494642,10.0
-1.687659971,-0.694114938,1.597565829,1.053459479,-1.222079559,-0.151494642,10.0
-1.802640704,-0.643860726,1.597565829,1.053459479,-1.17935677,-0.151494642,10.0
-1.86013107,-0.493098087,0.450214246,1.053459479,-1.17935677,-0.151494642,10.0
-1.86013107,-0.493098087,0.941936353,1.146316813,-1.136633982,-0.151494642,10.0
-1.917621436,-0.493098087,1.105843722,1.146316813,-1.136633982,-0.151494642,10.0
-1.917621436,-0.392589661,0.778028984,1.053459479,-1.17935677,-0.151494642,10.0
-1.975111802,-0.292081236,0.450214246,1.053459479,-1.17935677,-0.151494642,10.0
-1.975111802,-0.292081236,0.286306877,1.053459479,-1.17935677,-0.151494642,10.0
-1.917621436,-0.241827023,0.450214246,1.053459479,-1.136633982,-0.151494642,10.0
